id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
337979;6;6;13.564.659.966.250.500;1.0;0.16666666666666666;14;7;0.5773502691896257;0.0;0.0;-1;-8
150215538;6;5;10.897.247.358.851.600;0.5;0.08333333333333333;14;6;0.6324555320336759;0.0;0.0;-1;-8
310015674;7;5;32.015.621.187.164.200;0.5;0.07142857142857142;15;6;31.999.999.999.999.900;0.0;0.0;-1;-8
70119556;6;7;16.072.751.268.321.500;1.0;0.16666666666666666;15;8;26.649.654.437.396.600;1.0;0.06666666666666667;-1;-9
110018297;7;6;31.368.774.282.716.200;3.0;0.42857142857142855;16;7;4.320.493.798.938.570;3.5;0.21875;-1;-9
130083425;8;5;28.613.807.855.648.900;2.5;0.3125;17;6;3.249.615.361.854.380;2.0;0.11764705882352941;-1;-9
35359;4;4;1.247.219.128.924.640;1.0;0.25;14;5;0.5;0.5;0.03571428571428571;-1;-10
70029957;4;6;21.354.156.504.062.600;2.0;0.5;14;7;14.907.119.849.998.500;0.0;0.0;-1;-10
22848;2;9;11.110.243.021.644.400;0.0;0.0;13;10;18.257.418.583.505.500;2.0;0.15384615384615385;-1;-11
70195442;2;26;3.566.510.900.025.400;1.0;0.5;13;27;4.893.692.353.639.630;1.0;0.07692307692307693;-1;-11
130148744;10;6;4.560.701.700.396.550;2.0;0.2;21;7;5.217.491.947.499.500;4.5;0.21428571428571427;-1;-11
130164280;2;6;33.466.401.061.363.000;1.0;0.5;13;7;2.886.751.345.948.120;0.0;0.0;-1;-11
150231469;5;5;37.416.573.867.739.400;2.0;0.4;16;6;37.094.473.981.982.800;2.0;0.125;-1;-11
310012898;4;6;49.396.356.140.913.800;0.0;0.0;15;7;52.094.998.693.625.900;1.5;0.1;-1;-11
33546;3;4;23.570.226.039.551.500;0.0;0.0;15;5;17.853.571.071.357.100;1.5;0.1;-1;-12
70040984;6;5;16.583.123.951.777;1.0;0.16666666666666666;18;6;1.469.693.845.669.900;1.0;0.05555555555555555;-1;-12
64828;2;8;42.233.558.568.841.300;4.0;2.0;15;9;7.660.776.723.022.280;6.5;0.43333333333333335;-1;-13
70008712;7;4;2.160.246.899.469.280;1.0;0.14285714285714285;21;5;2.449.489.742.783.170;1.0;0.047619047619047616;-1;-14
97668;2;6;233.238.075.793.812;0.0;0.0;17;7;15.275.252.316.519.400;0.0;0.0;-1;-15
407704;4;8;6.590.035.768.383.310;7.0;1.75;19;9;7.364.399.160.827.710;5.5;0.2894736842105263;-1;-15
130006073;5;7;15.986.105.077.709.000;0.5;0.1;20;8;25.314.350.209.527.600;2.0;0.1;-1;-15
150253330;4;6;2.280.350.850.198.270;1.0;0.25;19;7;2.544.056.253.745.620;2.0;0.10526315789473684;-1;-15
150293351;5;4;0.816496580927726;1.0;0.2;20;5;0.4330127018922193;0.0;0.0;-1;-15
141903;8;6;233.238.075.793.812;0.0;0.0;24;7;2.494.438.257.849.290;2.5;0.10416666666666667;-1;-16
110042141;2;14;37.035.086.514.494.500;0.0;0.0;20;15;6.008.497.384.232.310;0.0;0.0;-1;-18
150241168;8;5;36.314.597.615.834.800;0.5;0.0625;26;6;4.534.313.619.501.850;5.0;0.19230769230769232;-1;-18
151207984;9;3;0.0;0.0;0.0;27;4;1.632.993.161.855.450;2.0;0.07407407407407407;-1;-18
400187;3;4;0.9428090415820634;0.0;0.0;22;5;3.031.088.913.245.530;2.5;0.11363636363636363;-1;-19
151259797;4;4;2.494.438.257.849.290;2.0;0.5;24;5;229.128.784.747.792;1.5;0.0625;-1;-20
150184580;20;4;0.9428090415820634;0.0;0.0;41;5;2.692.582.403.567.250;1.0;0.024390243902439025;-1;-21
20803;15;5;0.4330127018922193;0.0;0.0;37;6;38.262.252.939.417.900;3.0;0.08108108108108109;-1;-22
150259915;5;4;1.247.219.128.924.640;1.0;0.2;27;5;3.897.114.317.029.970;3.0;0.1111111111111111;-1;-22
19786;2;16;11.075.498.483.890.700;1.0;0.5;7;16;0.9092121131323906;0.0;0.0;0;-5
41000511;8;6;0.4898979485566356;0.0;0.0;13;6;0.7483314773547882;1.0;0.07692307692307693;0;-5
70028016;2;4;2.160.246.899.469.280;1.0;0.5;7;4;0.4714045207910317;0.0;0.0;0;-5
130002770;2;22;17.063.307.492.541.800;1.0;0.5;7;22;17.063.307.492.541.800;1.0;0.14285714285714285;0;-5
130027403;2;17;14.086.784.586.980.800;0.0;0.0;7;17;17.036.266.463.048.700;1.0;0.14285714285714285;0;-5
130036632;2;18;27.389.286.416.053.600;3.0;1.5;7;18;27.389.286.416.053.600;3.0;0.42857142857142855;0;-5
130077806;2;11;22.891.046.284.519.100;2.0;1.0;7;11;12.806.248.474.865.600;0.5;0.07142857142857142;0;-5
130135533;2;27;1.5;1.0;0.5;7;27;14.876.215.081.395.100;1.0;0.14285714285714285;0;-5
150206271;2;23;0.5622416762205902;0.0;0.0;7;23;0.6492207662311682;0.0;0.0;0;-5
150207006;2;4;18.856.180.831.641.200;0.0;0.0;7;4;0.816496580927726;1.0;0.14285714285714285;0;-5
117569;14;7;298.142.396.999.972;0.5;0.03571428571428571;20;7;298.142.396.999.972;0.5;0.025;0;-6
173841;2;21;12.409.673.645.990.800;1.0;0.5;8;21;14.448.183.276.799.800;1.0;0.125;0;-6
310017312;7;12;18.136.306.675.690.900;1.0;0.14285714285714285;13;12;13.726.971.700.492.200;1.0;0.07692307692307693;0;-6
320004368;7;10;3.269.764.215.458.250;1.0;0.14285714285714285;13;10;457.313.680.605.704;2.0;0.15384615384615385;0;-6
70031942;7;9;0.4841229182759271;0.0;0.0;14;9;0.7806247497997998;0.0;0.0;0;-7
70052095;7;9;0.5994789404140899;0.0;0.0;14;9;0.5994789404140899;0.0;0.0;0;-7
130022300;7;5;0.0;0.0;0.0;14;5;0.0;0.0;0.0;0;-7
130176222;7;4;0.4714045207910317;0.0;0.0;14;4;0.816496580927726;1.0;0.07142857142857142;0;-7
150185355;14;4;0.0;0.0;0.0;21;4;0.4714045207910317;0.0;0.0;0;-7
150215729;4;15;3.097.892.634.600.200;2.0;0.5;11;15;3.097.892.634.600.200;2.0;0.18181818181818182;0;-7
